test_number,chunk_shape,chunk_size,write_time,write_bps,read_time,read_bps
65,"(1024, 512, 256)",268435456,12.471344438381493,344386871.61761945,10.87657473795116,394882341.1302234
66,"(1024, 512, 256)",268435456,11.993153409101069,358118265.4380741,10.816169964149594,397087629.93145937
67,"(1024, 512, 256)",268435456,11.452909192070365,375011032.0418589,10.870570766739547,395100440.2769006
68,"(1024, 512, 256)",268435456,11.635925088077784,369112663.0232985,10.990229163318872,390798702.3905686
69,"(1024, 512, 256)",268435456,11.847104313783348,362533086.7563207,11.12853471096605,385941851.9643689
70,"(1024, 512, 512)",536870912,12.594635686837137,341015604.00740623,10.320940050296485,416141095.19768214
71,"(1024, 512, 512)",536870912,12.204874759539962,351905888.4764738,10.270257356576622,418194709.91636753
72,"(1024, 512, 512)",536870912,12.116400571539998,354475511.98401064,10.132632179185748,423874785.94383764
73,"(1024, 512, 512)",536870912,12.521027566865087,343020353.0072843,10.30138074979186,416931225.0774519
74,"(1024, 512, 512)",536870912,12.005180512554944,357759493.2044837,10.190925164148211,421450185.02439237
75,"(1024, 512, 512)",536870912,12.402797725982964,346290199.26708585,10.276377679780126,417945644.840478
76,"(1024, 512, 512)",536870912,12.251323928125203,350571686.8803134,10.359902118332684,414576049.74855006
77,"(1024, 512, 512)",536870912,12.186114575713873,352447637.78600836,10.127150536514819,424104221.66767555
78,"(1024, 512, 512)",536870912,12.359408718533814,347505887.5235181,10.295475014485419,417170386.98623544
79,"(1024, 512, 512)",536870912,11.893388687632978,361122251.09282833,10.168033764697611,422399000.1795326
